"Municipio";"2005/Dez";"2006/Dez";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Dez";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez";"2021/Dez";"2022/Dez";"2023/Dez";"2024/Dez"
"230010 ABAIARA";4;4;4;4;5;7;6;6;6;8;8;8;8;11;11;12;12;12;12;12
"230015 ACARAPE";6;6;6;6;6;8;8;8;16;21;21;22;22;22;19;19;17;16;17;17
"230020 ACARAU";21;27;28;32;37;37;37;40;43;43;41;43;47;47;49;54;59;62;62;65
"230030 ACOPIARA";17;22;24;27;28;32;32;34;36;36;34;36;33;30;39;38;39;44;43;56
"230040 AIUABA";10;10;10;10;12;12;12;12;12;12;9;9;9;12;11;13;13;13;14;15
"230050 ALCANTARAS";7;7;5;5;5;6;8;10;10;11;10;9;10;12;12;13;13;15;15;16
"230060 ALTANEIRA";5;7;7;7;8;10;9;9;8;9;9;9;10;8;9;9;9;8;8;8
"230070 ALTO SANTO";5;6;8;9;11;12;12;12;12;12;11;11;11;37;37;37;41;41;39;40
"230075 AMONTADA";10;11;10;11;14;17;17;16;16;18;18;18;17;17;17;18;18;20;22;23
"230080 ANTONINA DO NORTE";5;5;5;5;6;7;6;6;7;8;8;8;8;8;8;9;9;10;8;9
"230090 APUIARES";8;9;8;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
"230100 AQUIRAZ";24;25;26;26;28;31;33;35;44;44;46;54;55;56;57;60;65;72;76;79
"230110 ARACATI";44;47;49;48;52;56;59;63;66;67;68;70;71;77;79;84;89;98;101;105
"230120 ARACOIABA";13;13;13;14;17;19;20;20;26;27;27;27;27;28;28;30;39;40;39;39
"230125 ARARENDA";5;5;5;5;5;6;6;6;7;7;7;8;10;11;12;12;12;12;12;13
"230130 ARARIPE";11;11;11;17;18;20;19;19;19;21;21;20;20;19;20;21;20;21;21;21
"230140 ARATUBA";10;10;10;11;11;11;11;11;11;13;13;13;15;14;14;13;13;14;15;15
"230150 ARNEIROZ";6;6;5;5;5;6;6;7;9;10;10;5;7;8;9;9;9;10;10;11
"230160 ASSARE";10;13;13;15;16;17;16;16;19;20;23;22;23;23;23;25;24;25;27;30
"230170 AURORA";14;14;11;11;13;16;17;21;21;23;23;25;24;23;24;25;25;26;27;28
"230180 BAIXIO";3;3;3;3;3;4;4;4;4;5;5;5;5;6;7;7;6;7;7;6
"230185 BANABUIU";8;10;10;10;12;14;15;16;16;16;13;11;12;15;18;20;21;21;20;21
"230190 BARBALHA";38;39;52;60;62;66;70;70;74;75;74;75;82;90;90;92;94;96;107;107
"230195 BARREIRA";14;14;12;12;12;13;11;11;18;18;17;20;20;17;17;20;19;23;23;24
"230200 BARRO";10;13;14;16;16;17;18;17;18;19;19;20;21;21;22;23;24;22;21;20
"230205 BARROQUINHA";4;4;4;5;5;8;8;9;9;11;11;12;13;13;13;14;14;15;16;17
"230210 BATURITE";20;23;23;24;29;33;36;37;39;41;40;36;36;37;47;51;56;57;60;64
"230220 BEBERIBE";15;15;15;16;17;18;17;18;22;22;22;23;25;27;27;27;30;31;35;41
"230230 BELA CRUZ";14;15;16;16;16;21;21;21;22;23;25;25;26;27;28;32;35;39;39;40
"230240 BOA VIAGEM";16;20;21;24;24;26;27;28;30;30;31;31;36;37;36;36;42;48;43;47
"230250 BREJO SANTO";41;45;48;49;57;60;62;64;66;75;79;81;87;92;94;97;95;94;99;103
"230260 CAMOCIM";33;36;30;36;40;42;45;45;47;47;44;46;46;46;48;53;60;62;63;65
"230270 CAMPOS SALES";19;21;23;23;22;22;23;22;24;25;29;29;30;30;31;33;35;37;38;43
"230280 CANINDE";22;27;31;40;43;42;43;43;46;48;51;52;57;57;51;56;63;68;68;79
"230290 CAPISTRANO";10;11;11;11;11;14;14;14;17;17;17;18;18;18;18;19;21;22;22;22
"230300 CARIDADE";6;7;7;7;8;8;8;8;10;10;10;11;11;12;12;13;15;15;14;13
"230310 CARIRE";9;9;9;9;14;14;14;20;20;21;21;20;20;19;22;19;20;20;18;19
"230320 CARIRIACU";18;18;20;21;17;20;20;20;21;21;21;21;21;23;23;25;28;27;29;28
"230330 CARIUS";10;10;10;13;14;16;19;20;21;21;19;19;20;20;19;21;21;21;23;25
"230340 CARNAUBAL";14;17;21;24;27;33;34;34;32;32;29;29;29;31;36;36;37;37;37;37
"230350 CASCAVEL";18;20;20;21;22;23;23;24;30;31;32;35;36;36;39;44;50;54;59;70
"230360 CATARINA";9;9;10;11;13;14;14;14;15;15;14;14;14;15;16;19;21;21;21;21
"230365 CATUNDA";8;8;8;8;8;6;6;6;6;8;8;9;11;11;10;10;13;14;14;14
"230370 CAUCAIA";58;60;64;66;71;81;77;84;99;100;101;110;127;154;172;184;197;215;235;242
"230380 CEDRO";14;18;23;25;25;27;28;28;30;30;28;29;30;27;26;26;29;29;29;32
"230390 CHAVAL";6;7;7;6;10;10;10;10;13;13;12;11;11;12;12;14;15;16;16;17
"230393 CHORO";8;8;7;7;7;7;7;9;11;12;17;16;16;16;16;16;23;23;23;24
"230395 CHOROZINHO";17;17;18;12;11;12;17;19;20;21;19;21;21;21;21;22;22;24;26;27
"230400 COREAU";7;10;10;12;12;13;14;14;19;20;20;19;18;17;17;19;20;20;16;16
"230410 CRATEUS";39;44;43;2;55;57;61;62;67;71;72;73;74;75;78;85;86;86;96;112
"230420 CRATO";113;123;127;154;167;172;170;180;178;181;188;190;195;199;201;216;227;241;242;255
"230423 CROATA";8;8;8;8;9;12;15;18;18;18;18;17;19;20;19;20;21;24;24;24
"230425 CRUZ";15;16;16;17;15;16;16;17;18;18;19;19;21;24;23;24;27;34;39;49
"230426 DEPUTADO IRAPUAN PINHEIRO";9;9;9;10;12;12;12;12;15;15;14;14;15;17;17;17;17;17;16;17
"230427 ERERE";6;6;6;6;6;7;6;6;6;7;6;6;6;6;6;6;6;7;7;7
"230428 EUSEBIO";21;23;27;29;30;31;32;36;42;48;52;65;67;76;81;86;100;104;102;111
"230430 FARIAS BRITO";16;17;19;18;24;24;25;25;28;29;28;27;28;29;34;36;37;39;37;38
"230435 FORQUILHA";7;10;10;11;12;12;12;13;16;16;16;20;20;21;21;23;24;24;24;24
"230440 FORTALEZA";1515;2083;2407;2992;3541;3864;4156;4371;4583;4890;5029;5280;5644;5943;6098;6209;6449;6710;6673;6953
"230445 FORTIM";7;7;6;6;6;8;7;7;9;9;9;9;11;12;13;12;17;17;17;18
"230450 FRECHEIRINHA";4;4;6;8;9;10;11;9;9;9;10;12;12;12;12;12;15;17;17;20
"230460 GENERAL SAMPAIO";4;4;4;5;5;5;8;8;9;10;10;9;13;13;13;13;13;13;12;13
"230465 GRACA";8;8;8;8;8;9;9;9;12;14;13;13;14;13;14;16;16;15;16;17
"230470 GRANJA";12;16;16;17;18;17;17;19;23;25;27;27;29;29;32;34;32;32;32;39
"230480 GRANJEIRO";4;4;5;5;6;7;7;7;8;8;8;8;8;8;8;8;8;9;9;9
"230490 GROAIRAS";5;5;5;6;6;8;9;9;9;10;11;13;13;11;13;12;11;20;20;18
"230495 GUAIUBA";12;12;11;10;12;13;15;14;16;16;17;17;16;16;18;18;19;20;21;22
"230500 GUARACIABA DO NORTE";16;24;25;25;26;28;29;29;31;31;30;32;34;36;37;41;44;45;56;60
"230510 GUARAMIRANGA";4;4;5;5;5;6;6;6;6;6;7;7;7;7;7;8;8;8;8;8
"230520 HIDROLANDIA";6;6;6;7;7;8;8;8;9;9;9;10;11;13;14;15;16;16;16;18
"230523 HORIZONTE";15;17;20;21;22;24;27;30;33;40;42;42;42;43;43;45;47;46;49;56
"230526 IBARETAMA";6;6;8;7;7;11;12;12;12;13;13;15;15;15;15;17;18;17;16;17
"230530 IBIAPINA";17;18;19;17;21;22;22;22;25;28;26;27;27;27;28;29;29;30;34;36
"230533 IBICUITINGA";10;10;10;10;10;11;11;13;14;16;16;15;16;15;11;13;20;20;19;21
"230535 ICAPUI";10;11;11;11;11;11;11;11;12;12;14;14;14;14;14;15;15;17;17;17
"230540 ICO";31;40;35;36;38;39;44;46;52;55;56;55;58;59;64;71;71;70;73;73
"230550 IGUATU";64;76;83;88;91;93;99;102;106;117;118;123;130;132;132;138;138;146;153;168
"230560 INDEPENDENCIA";21;21;13;13;18;18;18;18;19;21;25;26;25;29;34;35;35;37;35;35
"230565 IPAPORANGA";7;7;7;7;8;8;10;10;10;10;11;13;14;14;14;14;15;15;16;16
"230570 IPAUMIRIM";8;8;5;5;5;5;6;6;7;8;7;7;8;8;7;8;9;10;12;13
"230580 IPU";18;22;24;27;29;31;31;32;32;38;36;34;38;38;39;42;46;46;48;48
"230590 IPUEIRAS";15;15;15;15;15;17;18;18;18;19;16;18;20;20;21;22;31;32;33;36
"230600 IRACEMA";8;9;9;9;11;11;12;13;15;17;16;15;15;16;16;16;17;17;17;18
"230610 IRAUCUBA";6;6;7;11;13;17;18;17;19;19;17;17;18;20;21;21;21;21;24;23
"230620 ITAICABA";5;5;5;5;5;6;5;5;6;6;6;6;7;7;8;9;10;10;10;10
"230625 ITAITINGA";16;19;20;21;26;25;24;24;25;24;25;25;25;28;28;31;32;34;36;40
"230630 ITAPAGE";20;26;25;26;29;34;34;34;36;35;36;36;35;36;44;44;45;47;52;55
"230640 ITAPIPOCA";35;59;65;66;73;79;82;87;92;95;103;109;114;122;125;137;152;154;161;169
"230650 ITAPIUNA";11;11;12;12;12;13;8;9;10;10;11;11;12;13;12;12;12;12;13;26
"230655 ITAREMA";12;15;15;15;16;17;17;17;23;23;22;22;27;28;28;30;34;35;37;38
"230660 ITATIRA";6;6;6;6;7;9;10;11;16;17;17;17;18;18;18;19;21;21;21;23
